Dates;Times;Location;Operator;FlightNo;Route;ACType;Registration;Aboard;Fatalities;Ground;Summary;FatalitiesInt;AboardInt;GroundInt;Month;Year;DeathRate;Jan;Feb;Mar;Apr;May;June;July;Aug;Sep;Oct;Nov;Dec;Weather
2012/1/10;10:00;North Spirit Lake, Ontario, Canada;Keystone air Service Limited;?;Winnipeg - North Spirit Lake;0;C-GOSU;31-7752148;5 ? (passengers:4? crew:1);4 ? (passengers:3? crew:1);While on approach, the plane crashed on a frozen lake, 1 km from the runway. The crash occurred during blizzard conditions.;5;31-7752148;4;1;2012;0.8;1;0;0;0;0;0;0;0;0;0;0;0;0
2012/1/30;08:45;Namoya, Congo;TRACEP Congo Aviation;?;Bukavu - Namoya;0;9Q-CUN;?;5 ? (passengers:3? crew:3);3 ? (passengers:1? crew:2);The cargo plane was on approach to land when it crashed in a forest 10km from Namoya.;5;?;3;1;2012;0.6;1;0;0;0;0;0;0;0;0;0;0;0;0
2012/3/15;07:15;Near San Juan, Puerto Rico;Jet One Express;?;San Juan - Saint Croix;0;N153JR;117;2 ? (passengers:0? crew:2);2 ? (passengers:0? crew:2);The cargo plane just took off and was carrying 2,500 lbs of bread when the pilot radioed he was having engine trouble and returning to the airport. The plane crashed in the Torrecilla Lagoon, killing both pilots.;2;117;2;3;2012;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2012/3/16;10:45;Kabul, Afghanistan;Military - Turkish Army (NATO);?;?;0;10981;?;12 ? (passengers:?? crew:?);12 ? (passengers:?? crew:?);The helicopter crashed on the outskirts of Kabul in the Bagrami District. It appeared the plane was trying to make an emergency landing when it crashed into houses killing four people on the ground.;12;?;12;3;2012;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2012/4/2;07:44;Tyumen, Russia;UTAir;120;Tyurmen - Surgut;0;VP-BYZ;332;43 ? (passengers:39? crew:4);33 ? (passengers:29? crew:4);After taking off, the plane lost height during the initial climb and crash landed in a snowy field, 1.5 miles past the end of the runway. The impact split the plane into three pieces.?Icing. The plane was not deiced before taking off.;43;332;33;4;2012;0.7674;0;0;0;1;0;0;0;0;0;0;0;0;0
2012/4/20;18:40;Islamabad, Pakistan;Bhoja Airlines;213;Karachi - Islamabad;1;AP-BKC?;23167/1074;127 ? (passengers:121? crew:6);127 ? (passengers:121? crew:6);While attempting to land, the plane impacted terrain about 5 km short of and slightly left of the extended runway center line of Islamabad's runway 30. The plane completely broke up, burst into flamesand came to rest in Hussain Abad Village. The crew were trained to fly the Boeing 737-200 but not the more advanced 737-236 which features an automated flight deck. The aircraft accident took place as a result of combination of various factors which directly and indirectly contributed towards the causation of accident.The primary causes of accident include, ineffective management of the basic flight parameters such as airspeed, altitude, descent rate attitude, as well as Page 75 of 78 thrust management. The contributory factors include the crew?s decision to continue the flight through significant changing winds associated with the prevailing weather conditions and the lack of experience of the crew to the airplane?s automated flight deck;127;23167/1074;127;4;2012;1;0;0;0;1;0;0;0;0;0;0;0;0;1
2012/4/30;16:30;Sabanagrande, Colombia;Military -Fuerza Aerea Colombiana;?;Barranquilla - Caucasia;0;FAC 4020?;31272;13 ? (passengers:11? crew:2);13 ? (passengers:11? crew:2);The helicopter caught fire and crashed while en route.;13;31272;13;4;2012;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2012/5/9;15:30;Near Cidahu, Indonesia;Sukhoi;36801;Demonstration flight;0;RA-97004;95004;45 ? (passengers:39? crew:6);45 ? (passengers:39? crew:6);The Russian jet crashed on the slopes of Mount Salak at an elevation of 5,200 ft. The airliner was conducting a demonstration flight to prospective customers. The last radio contact with the flight was at 15:30 when the crew requested a descent from 10,000ft to 6,000ft. Soon after requesting a turn, they flew into the mountain. All 37passengers, 6 crew and 2 Sukhoi officials were killed. Pilot error. The TAWS had sent a 'terrain ahead' warning , followed by six 'avoid terrain' warnings before the crash. The pilot in command switched the TAWS off, assuming there was a database problem. In addition, the flight crew were distracted by a customer in the cockpit and failed to complete a planned turn. Due to inadequate maps, briefing, and low clouds, the crew did not know there were mountains in the area.;45;;45;5;2012;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2012/5/14;09:15;Jomsom, Nepal;Agni Air;?;Pokhara - Jomsom;0;9N-AIG;8216;21 ? (passengers:18? crew:3);15 ? (passengers:13? crew:2);" 	The plane was attempting to land and went around on final approach to Runway 06. The aircraft joined a left downwind when a wing contacted a hilltop about 900 feet north of the airport.The flight attendant and 5 passengers survived the accident.";21;8216;15;5;2012;0.7143;0;0;0;0;1;0;0;0;0;0;0;0;0
2012/6/2;15:30;Accra, Ghana;Allied Air;111;Lagos, Nigerai - Accra, Ghana;1;5N-BJN; 22540/1796;4 ? (passengers:0? crew:4);0 ? (passengers:0? crew:4);While on approach to Runway 21 at Kotika International Airport, the cargo plane overran the runway, broke through the perimeter fence, went across a main road and collided with a bus.;4;;0;6;2012;0;0;0;0;0;0;1;0;0;0;0;0;0;0
